"Date","Open","High","Low","Close","Volume","Market Cap"
"14-01-2018",420.34,444.01,384.3,399.52,180678000,6233774955
"13-01-2018",393.04,433.35,393.04,420.05,248704992,6552464202
"12-01-2018",358.62,394.78,347.32,394.78,158188992,6156669112
"11-01-2018",406.08,415.9,346.69,355.59,187722000,5544135116
"10-01-2018",413.25,419.07,370.52,407.74,265152000,6355594211
"09-01-2018",403.71,447.61,398.53,413.33,522438016,6441081109
"08-01-2018",458.35,469.7,357.54,405.07,220924000,6310649102
"07-01-2018",456.15,495.84,453.39,459.33,262443008,7154321075
"06-01-2018",385.36,452.77,380.21,452.77,235391008,7050351983
"05-01-2018",402.38,407.04,373.89,384.94,182618000,5992646344
"04-01-2018",414.41,419.72,383.54,403.05,166108000,6272919818
"03-01-2018",382.74,418.26,378.86,412.06,180190000,6411538499
"02-01-2018",359.06,387.79,359.06,383.42,224768992,5964446372
"01-01-2018",349.55,363.79,336.98,358.99,110244000,5581120937
"31-12-2017",329.0,356.77,327.41,349.03,101667000,5426275496
"30-12-2017",378.52,378.52,319.61,330.8,140463008,5141848285
"29-12-2017",381.3,387.56,358.07,377.37,173824992,5864298025
"28-12-2017",422.51,422.51,359.49,378.9,162716992,5884023974
"27-12-2017",381.3,442.6,381.3,421.85,250742000,6551004258
"26-12-2017",361.08,384.77,357.27,381.54,161342000,5924390504
"25-12-2017",339.69,365.87,323.2,360.78,119632000,5600574983
"24-12-2017",391.02,391.02,297.09,337.06,134675008,5231008879
"23-12-2017",349.76,417.65,344.38,382.04,190116992,5923639020
"22-12-2017",419.53,423.42,255.67,346.11,334616992,5366534136
"21-12-2017",470.29,470.29,390.55,417.98,354020992,6480898957
"20-12-2017",375.71,476.4,329.95,469.2,498648000,7274184728
"19-12-2017",381.07,406.03,346.94,377.24,317292000,5846941333
"18-12-2017",353.07,381.51,332.09,381.51,217306000,5911576610
"17-12-2017",328.06,365.24,327.27,351.37,278704992,5443136127
"16-12-2017",312.61,331.54,311.71,327.32,164860992,5067493048
"15-12-2017",325.61,326.08,296.08,312.32,163054000,4835266494
"14-12-2017",303.26,335.53,301.4,325.21,261052992,5033742809
"13-12-2017",307.43,330.35,284.74,305.74,248583008,4731132765
"12-12-2017",281.49,319.9,281.19,308.07,271785984,4759444871
"11-12-2017",244.95,281.03,244.14,279.67,152496992,4320686685
"10-12-2017",262.9,262.9,220.77,245.33,142120000,3790160062
"09-12-2017",277.27,281.4,250.39,262.53,161152000,4055886851
"08-12-2017",281.31,284.86,250.65,276.74,201496992,4275420436
"07-12-2017",277.87,300.32,263.17,280.86,299528000,4339071271
"06-12-2017",268.16,316.67,260.61,278.68,543884032,4304403903
"05-12-2017",211.13,272.64,208.89,269.48,352326016,4161083495
"04-12-2017",199.56,210.24,192.04,210.24,74534400,3244659071
"03-12-2017",203.37,209.09,191.25,200.05,111303000,3087384087
"02-12-2017",190.83,205.26,186.68,203.03,80791104,3132514326
"01-12-2017",179.72,191.85,169.76,190.94,70430496,2945159626
"30-11-2017",170.49,195.39,156.53,180.14,128112000,2777814243
"29-11-2017",203.91,214.27,165.33,168.15,178828000,2591497372
"28-11-2017",175.35,203.21,173.17,203.21,179179008,3131835747
"27-11-2017",162.92,173.39,159.95,173.39,81489696,2671558471
"26-11-2017",168.57,168.72,159.76,163.37,61100400,2516504509
"25-11-2017",159.99,170.1,159.99,168.44,64076700,2593878413
"24-11-2017",158.62,162.94,156.76,160.03,69178000,2463731906
"23-11-2017",166.11,172.92,156.45,158.61,109392000,2441188157
"22-11-2017",142.08,173.45,141.14,165.95,189472000,2553477031
"21-11-2017",136.1,142.21,131.37,141.74,72701504,2179674337
"20-11-2017",129.5,140.55,128.49,135.76,59945400,2087714039
"19-11-2017",130.72,133.62,127.21,129.48,42133000,1990658960
"18-11-2017",126.6,135.01,123.53,130.8,62156400,2010389200
"17-11-2017",120.01,126.7,119.25,126.7,47127700,1946821108
"16-11-2017",121.24,128.09,118.5,120.31,74944096,1848138346
"15-11-2017",122.24,124.72,119.19,121.37,49976700,1863896227
"14-11-2017",123.62,124.2,118.63,122.35,53544800,1878416788
"13-11-2017",128.96,136.53,120.92,123.4,116200000,1893676518
"12-11-2017",119.6,133.68,110.62,123.86,144948000,1900592760
"11-11-2017",105.75,127.11,103.88,119.62,107708000,1834986727
"10-11-2017",121.34,121.67,101.76,105.59,84614000,1619340284
"09-11-2017",112.53,123.4,112.22,120.78,86864600,1851746657
"08-11-2017",99.82,115.94,99.14,113.32,79822896,1736890941
"07-11-2017",104.23,104.75,95.05,99.76,81253296,1528614361
"06-11-2017",86.42,102.92,86.15,102.92,103722000,1576622046
"05-11-2017",87.31,88.04,86.04,86.35,27619800,1322404753
"04-11-2017",87.9,88.48,85.5,87.3,23011500,1336565242
"03-11-2017",83.53,90.14,83.53,87.99,37321100,1346763586
"02-11-2017",85.66,86.08,81.68,83.76,48608100,1281650703
"01-11-2017",87.65,88.2,84.73,85.72,36899300,1311292245
"31-10-2017",88.75,89.33,87.6,87.64,28704900,1340283967
"30-10-2017",88.59,90.49,88.04,88.84,28179100,1358248605
"29-10-2017",86.27,90.36,86.27,88.65,38368700,1354970307
"28-10-2017",86.91,87.76,85.71,86.31,25397400,1318808164
"27-10-2017",88.58,89.19,86.43,86.75,27939000,1325171159
"26-10-2017",88.17,89.87,88.02,88.58,23132200,1352755941
"25-10-2017",88.49,101.29,85.82,88.13,59952100,1345490121
"24-10-2017",85.16,92.35,83.47,88.4,42191100,1349226606
"23-10-2017",86.48,86.92,82.89,85.21,26261800,1300163581
"22-10-2017",88.18,89.04,85.52,86.58,27130000,1320681414
"21-10-2017",90.41,90.41,86.58,88.12,25267200,1343782012
"20-10-2017",88.71,92.73,88.07,90.54,38260700,1380282915
"19-10-2017",89.66,92.48,87.91,88.62,35302300,1350623715
"18-10-2017",91.19,91.26,86.54,89.54,36277100,1364268168
"17-10-2017",95.93,96.94,90.72,91.28,43866200,1390381889
"16-10-2017",94.99,97.97,93.05,95.9,32185000,1460336356
"15-10-2017",99.94,100.81,91.6,94.87,34188200,1444228752
"14-10-2017",95.06,103.13,93.73,100.23,38886100,1524757034
"13-10-2017",87.23,96.77,85.53,95.13,63578800,1447172869
"12-10-2017",87.56,88.63,86.46,87.09,32783200,1324627806
"11-10-2017",86.74,88.25,85.8,87.42,21103400,1329273373
"10-10-2017",85.61,88.41,84.27,86.82,31695500,1319741871
"09-10-2017",89.74,90.12,83.76,85.49,38063700,1299151337
"08-10-2017",91.39,92.2,89.74,89.77,29220800,1363810608
"07-10-2017",90.94,92.05,89.57,91.7,22617600,1392717649
"06-10-2017",91.91,92.94,90.23,91.19,24504100,1384547607
"05-10-2017",90.49,92.45,88.14,91.86,27697400,1393835628
"04-10-2017",92.95,93.65,89.05,90.41,29568100,1371834086
"03-10-2017",91.52,94.81,87.21,92.96,44289800,1410177515
"02-10-2017",93.56,93.8,90.98,91.54,27534700,1388231756
"01-10-2017",95.59,95.74,91.77,93.22,25936500,1413271070
"30-09-2017",94.44,96.33,94.07,95.76,28498000,1451347772
"29-09-2017",97.3,97.78,91.22,94.5,38972400,1431836868
"28-09-2017",100.97,101.14,95.48,97.23,41822000,1472760795
"27-09-2017",92.75,102.91,92.64,101.04,51634900,1529997545
"26-09-2017",93.81,95.31,91.6,93.13,32540800,1409808181
"25-09-2017",89.37,94.23,89.12,93.64,28114300,1417095773
"24-09-2017",91.76,91.81,88.0,89.5,22224000,1354040927
"23-09-2017",88.03,92.12,86.96,91.85,26372900,1389164734
"22-09-2017",86.17,89.54,84.33,88.17,28179100,1331799524
"21-09-2017",95.33,95.75,85.17,86.24,34290500,1302647056
"20-09-2017",97.64,98.09,93.37,95.57,34198900,1443575825
"19-09-2017",100.83,101.28,93.7,97.72,48249700,1476051372
"18-09-2017",93.81,102.02,93.81,100.57,63732100,1518727084
"17-09-2017",94.97,96.36,89.22,93.74,41008200,1415181942
"16-09-2017",100.11,106.12,91.41,95.29,71163504,1438142247
"15-09-2017",83.13,103.69,73.17,99.85,176154000,1506509754
"14-09-2017",111.29,120.39,82.65,83.04,133553000,1252514255
"13-09-2017",111.81,113.16,102.39,111.33,88162896,1678668285
"12-09-2017",112.72,115.69,110.49,111.89,40402700,1686620234
"11-09-2017",113.05,116.24,110.47,112.75,30605900,1699051158
"10-09-2017",115.64,115.77,103.17,112.33,50725200,1692192833
"09-09-2017",118.19,119.73,113.17,116.27,39220400,1751020320
"08-09-2017",120.28,132.57,113.3,118.04,159066000,1777137861
"07-09-2017",121.39,124.76,116.6,120.84,62655700,1818707442
"06-09-2017",118.79,122.31,114.32,121.63,64604400,1830006238
"05-09-2017",106.75,122.63,95.81,118.82,113378000,1787182296
"04-09-2017",126.23,126.23,101.73,106.17,89194704,1596404839
"03-09-2017",124.93,129.29,115.74,126.01,92631104,1894140827
"02-09-2017",141.35,141.4,121.96,124.8,128849000,1875385652
"01-09-2017",140.65,150.09,136.49,141.2,163960992,2121172849
"31-08-2017",131.95,141.97,131.21,140.41,131974000,2108613399
"30-08-2017",133.85,135.83,124.06,132.38,106543000,1987368496
"29-08-2017",144.24,144.49,128.02,133.04,104869000,1996714025
"28-08-2017",130.76,154.58,129.06,145.4,216036000,2181295078
"27-08-2017",137.6,138.88,124.81,130.68,92742200,1960044156
"26-08-2017",107.46,148.36,105.29,138.05,301843008,2064348136
"25-08-2017",86.47,108.36,85.34,108.26,95835696,1618879603
"24-08-2017",90.35,93.77,79.35,86.29,70187104,1290348429
"23-08-2017",91.01,99.71,85.51,90.33,84961904,1350761080
